"RecordNumber","Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Xaxis","Yaxis","Zaxis","WorldRegion","Country","LocationText","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages","Notes"
74961,"22334","UNIQUE","SUN TRUST BANK","VA","NOT ACCEPTABLE",38.82,-77.08,0.17,-0.75,0.62,"NA","US","Sun Trust Bank, VA","NA-US-VA-SUN TRUST BANK","false",,,,
74962,"22350","UNIQUE","ALEXANDRIA","VA","PRIMARY",48.31,-2.12,0.66,-0.02,0.74,"NA","US","Alexandria, VA","NA-US-VA-ALEXANDRIA","false",,,,"no NWS data, "
74963,"22350","UNIQUE","DEPT OF DEFENSE","VA","NOT ACCEPTABLE",48.31,-2.12,0.66,-0.02,0.74,"NA","US","Dept Of Defense, VA","NA-US-VA-DEPT OF DEFENSE","false",,,,
74964,"22350","UNIQUE","DOD","VA","NOT ACCEPTABLE",48.31,-2.12,0.66,-0.02,0.74,"NA","US","Dod, VA","NA-US-VA-DOD","false",,,,
74965,"20106","STANDARD","AMISSVILLE","VA","PRIMARY",38.67,-77.99,0.16,-0.76,0.62,"NA","US","Amissville, VA","NA-US-VA-AMISSVILLE","false",2234,4141,115291698,
74966,"20106","STANDARD","VIEWTOWN","VA","ACCEPTABLE",38.67,-77.99,0.16,-0.76,0.62,"NA","US","Viewtown, VA","NA-US-VA-VIEWTOWN","false",2234,4141,115291698,
74967,"22003","STANDARD","ANNANDALE","VA","PRIMARY",38.83,-77.21,0.17,-0.75,0.62,"NA","US","Annandale, VA","NA-US-VA-ANNANDALE","false",26394,45824,1403265774,
74968,"22201","STANDARD","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",20312,26353,1570573667,
74969,"22202","STANDARD","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",12207,16255,848136014,
74970,"22202","STANDARD","CRYSTAL CITY","VA","NOT ACCEPTABLE",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Crystal City, VA","NA-US-VA-CRYSTAL CITY","false",12207,16255,848136014,
74971,"22203","STANDARD","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",12218,16425,778679612,
74972,"22204","STANDARD","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",25406,38281,1228280789,
74973,"22204","STANDARD","SOUTH","VA","NOT ACCEPTABLE",38.87,-77.10,0.17,-0.75,0.62,"NA","US","South, VA","NA-US-VA-SOUTH","false",25406,38281,1228280789,
74974,"22205","STANDARD","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",8536,14698,711061407,
74975,"22206","STANDARD","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",11507,16010,754431804,
74976,"22207","STANDARD","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",15204,26631,1484995039,
74977,"22209","STANDARD","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",6810,8628,441383721,
74978,"22209","STANDARD","ROSSLYN","VA","ACCEPTABLE",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Rosslyn, VA","NA-US-VA-ROSSLYN","false",6810,8628,441383721,
74979,"22210","PO BOX","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
74980,"22211","STANDARD","FORT MYER","VA","PRIMARY",38.87,-77.07,0.17,-0.75,0.62,"NA","US","Fort Myer, VA","NA-US-VA-FORT MYER","false",485,628,17724219,
74981,"22211","STANDARD","FT MYER","VA","ACCEPTABLE",38.87,-77.07,0.17,-0.75,0.62,"NA","US","Ft Myer, VA","NA-US-VA-FT MYER","false",485,628,17724219,
74982,"22211","STANDARD","ARLINGTON","VA","NOT ACCEPTABLE",38.87,-77.07,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",485,628,17724219,
74983,"22212","UNIQUE","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
74984,"22212","UNIQUE","NAVY MUTUAL AID ASSOC","VA","NOT ACCEPTABLE",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Navy Mutual Aid Assoc, VA","NA-US-VA-NAVY MUTUAL AID ASSOC","false",,,,
74985,"22213","STANDARD","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",1532,2545,138694663,
74986,"22214","STANDARD","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
74987,"22215","PO BOX","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
74988,"22216","PO BOX","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
74989,"22217","UNIQUE","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
74990,"22217","UNIQUE","OFFICE OF NAVAL RESEARCH","VA","NOT ACCEPTABLE",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Office Of Naval Research, VA","NA-US-VA-OFFICE OF NAVAL RESEARCH","false",,,,
74991,"22219","PO BOX","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
74992,"22222","UNIQUE","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
74993,"22222","UNIQUE","MARINE CORPS INSTITUTE","VA","NOT ACCEPTABLE",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Marine Corps Institute, VA","NA-US-VA-MARINE CORPS INSTITUTE","false",,,,
74994,"22225","UNIQUE","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
74995,"22225","UNIQUE","DEPT OF THE NAVY","VA","NOT ACCEPTABLE",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Dept Of The Navy, VA","NA-US-VA-DEPT OF THE NAVY","false",,,,
74996,"22226","UNIQUE","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
74997,"22226","UNIQUE","FDIC","VA","NOT ACCEPTABLE",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Fdic, VA","NA-US-VA-FDIC","false",,,,
74998,"22227","UNIQUE","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
74999,"22227","UNIQUE","U S AIR","VA","NOT ACCEPTABLE",38.87,-77.10,0.17,-0.75,0.62,"NA","US","U S Air, VA","NA-US-VA-U S AIR","false",,,,
75000,"22230","UNIQUE","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
75001,"22230","UNIQUE","NATIONAL SCIENCE FOUNDATION","VA","NOT ACCEPTABLE",38.87,-77.10,0.17,-0.75,0.62,"NA","US","National Science Foundation, VA","NA-US-VA-NATIONAL SCIENCE FOUNDATION","false",,,,
75002,"22240","UNIQUE","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
75003,"22240","UNIQUE","US NAVY ACCOUNTING OFFICE","VA","NOT ACCEPTABLE",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Us Navy Accounting Office, VA","NA-US-VA-US NAVY ACCOUNTING OFFICE","false",,,,
75004,"22241","UNIQUE","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
75005,"22241","UNIQUE","NAVAL SUPPLY SYSTEM COMMAND","VA","NOT ACCEPTABLE",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Naval Supply System Command, VA","NA-US-VA-NAVAL SUPPLY SYSTEM COMMAND","false",,,,
75006,"22242","UNIQUE","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
75007,"22242","UNIQUE","NAVY SEA SYSTEMS COMMAND","VA","NOT ACCEPTABLE",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Navy Sea Systems Command, VA","NA-US-VA-NAVY SEA SYSTEMS COMMAND","false",,,,
75008,"22243","UNIQUE","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
75009,"22243","UNIQUE","NAVAL AIR SYSTEM COMMAND","VA","NOT ACCEPTABLE",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Naval Air System Command, VA","NA-US-VA-NAVAL AIR SYSTEM COMMAND","false",,,,
75010,"22244","UNIQUE","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
75011,"22244","UNIQUE","ASSISTANT SECRETARY OF NAVY","VA","NOT ACCEPTABLE",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Assistant Secretary Of Navy, VA","NA-US-VA-ASSISTANT SECRETARY OF NAVY","false",,,,
75012,"22245","UNIQUE","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
75013,"22245","UNIQUE","SPACE & NAVAL WARFARE SYSTEM","VA","NOT ACCEPTABLE",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Space & Naval Warfare System, VA","NA-US-VA-SPACE & NAVAL WARFARE SYSTEM","false",,,,
75014,"22246","UNIQUE","ARLINGTON","VA","PRIMARY",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Arlington, VA","NA-US-VA-ARLINGTON","false",,,,
75015,"22246","UNIQUE","US UNMANNED AERIAL VEHICLES","VA","NOT ACCEPTABLE",38.87,-77.10,0.17,-0.75,0.62,"NA","US","Us Unmanned Aerial Vehicles, VA","NA-US-VA-US UNMANNED AERIAL VEHICLES","false",,,,
75016,"20146","PO BOX","ASHBURN","VA","PRIMARY",39.04,-77.48,0.16,-0.75,0.62,"NA","US","Ashburn, VA","NA-US-VA-ASHBURN","false",377,611,23807188,
75017,"20147","STANDARD","ASHBURN","VA","PRIMARY",39.04,-77.48,0.16,-0.75,0.62,"NA","US","Ashburn, VA","NA-US-VA-ASHBURN","false",23767,45259,2005708619,
75018,"20148","STANDARD","ASHBURN","VA","PRIMARY",39.04,-77.48,0.16,-0.75,0.62,"NA","US","Ashburn, VA","NA-US-VA-ASHBURN","false",10397,21971,1144943612,
75019,"20148","STANDARD","ARCOLA","VA","ACCEPTABLE",39.04,-77.48,0.16,-0.75,0.62,"NA","US","Arcola, VA","NA-US-VA-ARCOLA","false",10397,21971,1144943612,
75020,"20148","STANDARD","BRAMBLETON","VA","ACCEPTABLE",39.04,-77.48,0.16,-0.75,0.62,"NA","US","Brambleton, VA","NA-US-VA-BRAMBLETON","false",10397,21971,1144943612,
75021,"20148","STANDARD","BROADLANDS","VA","ACCEPTABLE",39.04,-77.48,0.16,-0.75,0.62,"NA","US","Broadlands, VA","NA-US-VA-BROADLANDS","false",10397,21971,1144943612,
75022,"20149","UNIQUE","ASHBURN","VA","PRIMARY",39.04,-77.48,0.16,-0.75,0.62,"NA","US","Ashburn, VA","NA-US-VA-ASHBURN","false",,,,
75023,"20149","UNIQUE","NATL ASSN LETTER CARRIERS","VA","NOT ACCEPTABLE",39.04,-77.48,0.16,-0.75,0.62,"NA","US","Natl Assn Letter Carriers, VA","NA-US-VA-NATL ASSN LETTER CARRIERS","false",,,,
75024,"22712","STANDARD","BEALETON","VA","PRIMARY",38.57,-77.76,0.16,-0.76,0.62,"NA","US","Bealeton, VA","NA-US-VA-BEALETON","false",3999,7400,189291009,
75025,"22712","STANDARD","MORRISVILLE","VA","ACCEPTABLE",38.57,-77.76,0.16,-0.76,0.62,"NA","US","Morrisville, VA","NA-US-VA-MORRISVILLE","false",3999,7400,189291009,
75026,"22610","STANDARD","BENTONVILLE","VA","PRIMARY",38.83,-78.31,0.15,-0.76,0.62,"NA","US","Bentonville, VA","NA-US-VA-BENTONVILLE","false",881,1566,33530671,
75027,"22610","STANDARD","BROWNTOWN","VA","ACCEPTABLE",38.83,-78.31,0.15,-0.76,0.62,"NA","US","Browntown, VA","NA-US-VA-BROWNTOWN","false",881,1566,33530671,
75028,"22610","STANDARD","OVERALL","VA","NOT ACCEPTABLE",38.83,-78.31,0.15,-0.76,0.62,"NA","US","Overall, VA","NA-US-VA-OVERALL","false",881,1566,33530671,
75029,"22611","STANDARD","BERRYVILLE","VA","PRIMARY",39.14,-77.98,0.16,-0.75,0.63,"NA","US","Berryville, VA","NA-US-VA-BERRYVILLE","false",4054,7282,200691015,
75030,"22611","STANDARD","MOUNT WEATHER","VA","ACCEPTABLE",39.14,-77.98,0.16,-0.75,0.63,"NA","US","Mount Weather, VA","NA-US-VA-MOUNT WEATHER","false",4054,7282,200691015,
75031,"20135","STANDARD","BLUEMONT","VA","PRIMARY",39.11,-77.83,0.16,-0.75,0.63,"NA","US","Bluemont, VA","NA-US-VA-BLUEMONT","false",1338,2350,76780448,
75032,"20135","STANDARD","MOUNT WEATHER","VA","ACCEPTABLE",39.11,-77.83,0.16,-0.75,0.63,"NA","US","Mount Weather, VA","NA-US-VA-MOUNT WEATHER","false",1338,2350,76780448,
75033,"22713","STANDARD","BOSTON","VA","PRIMARY",38.54,-78.14,0.16,-0.76,0.62,"NA","US","Boston, VA","NA-US-VA-BOSTON","false",612,1131,25592022,
75034,"22716","STANDARD","CASTLETON","VA","PRIMARY",38.60,-78.10,0.16,-0.76,0.62,"NA","US","Castleton, VA","NA-US-VA-CASTLETON","false",388,679,14581431,
75035,"22620","STANDARD","BOYCE","VA","PRIMARY",39.09,-78.05,0.16,-0.75,0.63,"NA","US","Boyce, VA","NA-US-VA-BOYCE","false",975,1744,47338117,
75036,"22714","STANDARD","BRANDY STATION","VA","PRIMARY",38.52,-77.89,0.16,-0.76,0.62,"NA","US","Brandy Station, VA","NA-US-VA-BRANDY STATION","false",525,975,21803036,
75037,"22714","STANDARD","BRANDY STA","VA","ACCEPTABLE",38.52,-77.89,0.16,-0.76,0.62,"NA","US","Brandy Sta, VA","NA-US-VA-BRANDY STA","false",525,975,21803036,
75038,"22714","STANDARD","BRANDY","VA","NOT ACCEPTABLE",38.52,-77.89,0.16,-0.76,0.62,"NA","US","Brandy, VA","NA-US-VA-BRANDY","false",525,975,21803036,
75039,"22715","STANDARD","BRIGHTWOOD","VA","PRIMARY",38.41,-78.16,0.16,-0.76,0.62,"NA","US","Brightwood, VA","NA-US-VA-BRIGHTWOOD","false",510,948,18236941,
75040,"20136","STANDARD","BRISTOW","VA","PRIMARY",38.73,-77.55,0.16,-0.76,0.62,"NA","US","Bristow, VA","NA-US-VA-BRISTOW","false",10619,22107,845849788,
75041,"20137","STANDARD","BROAD RUN","VA","PRIMARY",38.81,-77.72,0.16,-0.76,0.62,"NA","US","Broad Run, VA","NA-US-VA-BROAD RUN","false",898,1651,59279256,
75042,"20138","PO BOX","CALVERTON","VA","PRIMARY",38.63,-77.67,0.16,-0.76,0.62,"NA","US","Calverton, VA","NA-US-VA-CALVERTON","false",,,,
75043,"20139","PO BOX","CASANOVA","VA","PRIMARY",38.61,-77.64,0.16,-0.76,0.62,"NA","US","Casanova, VA","NA-US-VA-CASANOVA","false",,,,
75044,"20143","STANDARD","CATHARPIN","VA","PRIMARY",38.84,-77.56,0.16,-0.76,0.62,"NA","US","Catharpin, VA","NA-US-VA-CATHARPIN","false",577,1029,40476976,
75045,"20119","STANDARD","CATLETT","VA","PRIMARY",38.61,-77.64,0.16,-0.76,0.62,"NA","US","Catlett, VA","NA-US-VA-CATLETT","false",1725,3067,83160072,
75046,"20120","STANDARD","CENTREVILLE","VA","PRIMARY",38.84,-77.44,0.16,-0.76,0.62,"NA","US","Centreville, VA","NA-US-VA-CENTREVILLE","false",19282,35432,1368248118,
75047,"20120","STANDARD","SULLY STATION","VA","ACCEPTABLE",38.84,-77.44,0.16,-0.76,0.62,"NA","US","Sully Station, VA","NA-US-VA-SULLY STATION","false",19282,35432,1368248118,
75048,"20121","STANDARD","CENTREVILLE","VA","PRIMARY",38.84,-77.44,0.16,-0.76,0.62,"NA","US","Centreville, VA","NA-US-VA-CENTREVILLE","false",12865,22529,748969634,
75049,"20122","PO BOX","CENTREVILLE","VA","PRIMARY",38.84,-77.44,0.16,-0.76,0.62,"NA","US","Centreville, VA","NA-US-VA-CENTREVILLE","false",395,618,18593260,
75050,"22622","PO BOX","BRUCETOWN","VA","PRIMARY",39.25,-78.05,0.16,-0.75,0.63,"NA","US","Brucetown, VA","NA-US-VA-BRUCETOWN","false",,,,
75051,"22624","STANDARD","CLEAR BROOK","VA","PRIMARY",39.26,-78.10,0.15,-0.75,0.63,"NA","US","Clear Brook, VA","NA-US-VA-CLEAR BROOK","false",1244,2287,52873908,
75052,"20124","STANDARD","CLIFTON","VA","PRIMARY",38.77,-77.38,0.17,-0.76,0.62,"NA","US","Clifton, VA","NA-US-VA-CLIFTON","false",7036,13607,696588461,
75053,"22625","STANDARD","CROSS JUNCTION","VA","PRIMARY",39.32,-78.29,0.15,-0.75,0.63,"NA","US","Cross Junction, VA","NA-US-VA-CROSS JUNCTION","false",1578,3013,74099089,
75054,"22625","STANDARD","CROSS JNCT","VA","ACCEPTABLE",39.32,-78.29,0.15,-0.75,0.63,"NA","US","Cross Jnct, VA","NA-US-VA-CROSS JNCT","false",1578,3013,74099089,
75055,"22625","STANDARD","WHITACRE","VA","ACCEPTABLE",39.32,-78.29,0.15,-0.75,0.63,"NA","US","Whitacre, VA","NA-US-VA-WHITACRE","false",1578,3013,74099089,
75056,"22701","STANDARD","CULPEPER","VA","PRIMARY",38.47,-78.00,0.16,-0.76,0.62,"NA","US","Culpeper, VA","NA-US-VA-CULPEPER","false",13819,25160,540655132,
75057,"22701","STANDARD","RACCOON FORD","VA","ACCEPTABLE",38.47,-78.00,0.16,-0.76,0.62,"NA","US","Raccoon Ford, VA","NA-US-VA-RACCOON FORD","false",13819,25160,540655132,
75058,"22701","STANDARD","WINSTON","VA","ACCEPTABLE",38.47,-78.00,0.16,-0.76,0.62,"NA","US","Winston, VA","NA-US-VA-WINSTON","false",13819,25160,540655132,
75059,"22701","STANDARD","CATALPA","VA","NOT ACCEPTABLE",38.47,-78.00,0.16,-0.76,0.62,"NA","US","Catalpa, VA","NA-US-VA-CATALPA","false",13819,25160,540655132,
75060,"22701","STANDARD","HAYWOOD","VA","NOT ACCEPTABLE",38.47,-78.00,0.16,-0.76,0.62,"NA","US","Haywood, VA","NA-US-VA-HAYWOOD","false",13819,25160,540655132,
75061,"22701","STANDARD","REVA","VA","NOT ACCEPTABLE",38.47,-78.00,0.16,-0.76,0.62,"NA","US","Reva, VA","NA-US-VA-REVA","false",13819,25160,540655132,
75062,"22722","STANDARD","HAYWOOD","VA","PRIMARY",38.46,-78.17,0.16,-0.76,0.62,"NA","US","Haywood, VA","NA-US-VA-HAYWOOD","false",,,,
75063,"20144","STANDARD","DELAPLANE","VA","PRIMARY",38.92,-77.92,0.16,-0.76,0.62,"NA","US","Delaplane, VA","NA-US-VA-DELAPLANE","false",437,768,29849839,
75064,"20101","UNIQUE","DULLES","VA","PRIMARY",38.92,-77.35,0.17,-0.75,0.62,"NA","US","Dulles, VA","NA-US-VA-DULLES","false",,,,
75065,"20101","UNIQUE","DULLES P & D CENTER","VA","NOT ACCEPTABLE",38.92,-77.35,0.17,-0.75,0.62,"NA","US","Dulles P & D Center, VA","NA-US-VA-DULLES P & D CENTER","false",,,,
75066,"20102","UNIQUE","DULLES","VA","PRIMARY",38.92,-77.35,0.17,-0.75,0.62,"NA","US","Dulles, VA","NA-US-VA-DULLES","false",,,,
75067,"20102","UNIQUE","DULLES AIR MAIL FACILITY","VA","NOT ACCEPTABLE",38.92,-77.35,0.17,-0.75,0.62,"NA","US","Dulles Air Mail Facility, VA","NA-US-VA-DULLES AIR MAIL FACILITY","false",,,,
75068,"20102","UNIQUE","DULLES AIR TRANSFER OFFICE","VA","NOT ACCEPTABLE",38.92,-77.35,0.17,-0.75,0.62,"NA","US","Dulles Air Transfer Office, VA","NA-US-VA-DULLES AIR TRANSFER OFFICE","false",,,,
75069,"20103","UNIQUE","DULLES","VA","PRIMARY",38.92,-77.35,0.17,-0.75,0.62,"NA","US","Dulles, VA","NA-US-VA-DULLES","false",,,,
75070,"20103","UNIQUE","STAMP DISTRIBUTION NETWORK","VA","NOT ACCEPTABLE",38.92,-77.35,0.17,-0.75,0.62,"NA","US","Stamp Distribution Network, VA","NA-US-VA-STAMP DISTRIBUTION NETWORK","false",,,,
75071,"20104","UNIQUE","DULLES","VA","PRIMARY",38.92,-77.35,0.17,-0.75,0.62,"NA","US","Dulles, VA","NA-US-VA-DULLES","false",,,,
75072,"20104","UNIQUE","INSPECTION SERVICE FORENSIC","VA","NOT ACCEPTABLE",38.92,-77.35,0.17,-0.75,0.62,"NA","US","Inspection Service Forensic, VA","NA-US-VA-INSPECTION SERVICE FORENSIC","false",,,,
75073,"20189","STANDARD","DULLES","VA","PRIMARY",38.90,-77.04,0.17,-0.75,0.62,"NA","US","Dulles, VA","NA-US-VA-DULLES","false",3872,8097,384770778,"no NWS data, "
75074,"22025","STANDARD","DUMFRIES","VA","PRIMARY",38.60,-77.34,0.17,-0.76,0.62,"NA","US","Dumfries, VA","NA-US-VA-DUMFRIES","false",7884,14495,507140571,"no NWS data, "
75075,"22025","STANDARD","MONTCLAIR","VA","ACCEPTABLE",38.60,-77.34,0.17,-0.76,0.62,"NA","US","Montclair, VA","NA-US-VA-MONTCLAIR","false",7884,14495,507140571,
75076,"22026","STANDARD","DUMFRIES","VA","PRIMARY",38.56,-77.32,0.17,-0.76,0.62,"NA","US","Dumfries, VA","NA-US-VA-DUMFRIES","false",6477,11855,320793495,
75077,"22026","STANDARD","SOUTHBRIDGE","VA","ACCEPTABLE",38.56,-77.32,0.17,-0.76,0.62,"NA","US","Southbridge, VA","NA-US-VA-SOUTHBRIDGE","false",6477,11855,320793495,
75078,"22718","STANDARD","ELKWOOD","VA","PRIMARY",38.51,-77.85,0.16,-0.76,0.62,"NA","US","Elkwood, VA","NA-US-VA-ELKWOOD","false",316,561,11757205,
75079,"20151","STANDARD","CHANTILLY","VA","PRIMARY",38.87,-77.40,0.16,-0.75,0.62,"NA","US","Chantilly, VA","NA-US-VA-CHANTILLY","false",9820,18338,664755202,
75080,"20151","STANDARD","FAIRFAX","VA","ACCEPTABLE",38.87,-77.40,0.16,-0.75,0.62,"NA","US","Fairfax, VA","NA-US-VA-FAIRFAX","false",9820,18338,664755202,
75081,"20152","STANDARD","CHANTILLY","VA","PRIMARY",38.87,-77.40,0.16,-0.75,0.62,"NA","US","Chantilly, VA","NA-US-VA-CHANTILLY","false",9447,19709,910081112,
75082,"20152","STANDARD","FAIRFAX","VA","ACCEPTABLE",38.87,-77.40,0.16,-0.75,0.62,"NA","US","Fairfax, VA","NA-US-VA-FAIRFAX","false",9447,19709,910081112,
75083,"20152","STANDARD","SOUTH RIDING","VA","ACCEPTABLE",38.87,-77.40,0.16,-0.75,0.62,"NA","US","South Riding, VA","NA-US-VA-SOUTH RIDING","false",9447,19709,910081112,
75084,"20153","PO BOX","CHANTILLY","VA","PRIMARY",38.87,-77.40,0.16,-0.75,0.62,"NA","US","Chantilly, VA","NA-US-VA-CHANTILLY","false",361,592,21864748,
75085,"20153","PO BOX","FAIRFAX","VA","ACCEPTABLE",38.87,-77.40,0.16,-0.75,0.62,"NA","US","Fairfax, VA","NA-US-VA-FAIRFAX","false",361,592,21864748,
75086,"22030","STANDARD","FAIRFAX","VA","PRIMARY",38.85,-77.29,0.17,-0.75,0.62,"NA","US","Fairfax, VA","NA-US-VA-FAIRFAX","false",23677,40608,1557761472,
75087,"22031","STANDARD","FAIRFAX","VA","PRIMARY",38.85,-77.29,0.17,-0.75,0.62,"NA","US","Fairfax, VA","NA-US-VA-FAIRFAX","false",14618,24288,885090354,
75088,"22032","STANDARD","FAIRFAX","VA","PRIMARY",38.85,-77.29,0.17,-0.75,0.62,"NA","US","Fairfax, VA","NA-US-VA-FAIRFAX","false",13987,25982,952166308,
75089,"22033","STANDARD","FAIRFAX","VA","PRIMARY",38.85,-77.29,0.17,-0.75,0.62,"NA","US","Fairfax, VA","NA-US-VA-FAIRFAX","false",18386,31281,1341475688,
75090,"22034","STANDARD","FAIRFAX","VA","PRIMARY",38.85,-77.29,0.17,-0.75,0.62,"NA","US","Fairfax, VA","NA-US-VA-FAIRFAX","false",,,,
75091,"22034","STANDARD","JOURNAL NEWSPAPER","VA","NOT ACCEPTABLE",38.85,-77.29,0.17,-0.75,0.62,"NA","US","Journal Newspaper, VA","NA-US-VA-JOURNAL NEWSPAPER","false",,,,
75092,"22035","STANDARD","FAIRFAX","VA","PRIMARY",38.85,-77.29,0.17,-0.75,0.62,"NA","US","Fairfax, VA","NA-US-VA-FAIRFAX","false",,,,
75093,"22035","STANDARD","FAIRFAX COUNTY GOVERNMENT","VA","NOT ACCEPTABLE",38.85,-77.29,0.17,-0.75,0.62,"NA","US","Fairfax County Government, VA","NA-US-VA-FAIRFAX COUNTY GOVERNMENT","false",,,,
75094,"22036","STANDARD","FAIRFAX","VA","PRIMARY",38.85,-77.29,0.17,-0.75,0.62,"NA","US","Fairfax, VA","NA-US-VA-FAIRFAX","false",,,,
75095,"22036","STANDARD","JOURNAL NEWSPAPER","VA","NOT ACCEPTABLE",38.85,-77.29,0.17,-0.75,0.62,"NA","US","Journal Newspaper, VA","NA-US-VA-JOURNAL NEWSPAPER","false",,,,
75096,"22037","UNIQUE","FAIRFAX","VA","PRIMARY",38.85,-77.29,0.17,-0.75,0.62,"NA","US","Fairfax, VA","NA-US-VA-FAIRFAX","false",,,,
75097,"22037","UNIQUE","MOBIL OIL CORP","VA","NOT ACCEPTABLE",38.85,-77.29,0.17,-0.75,0.62,"NA","US","Mobil Oil Corp, VA","NA-US-VA-MOBIL OIL CORP","false",,,,
75098,"22038","PO BOX","FAIRFAX","VA","PRIMARY",38.85,-77.29,0.17,-0.75,0.62,"NA","US","Fairfax, VA","NA-US-VA-FAIRFAX","false",253,385,14068510,
75099,"22039","STANDARD","FAIRFAX STATION","VA","PRIMARY",38.80,-77.32,0.17,-0.76,0.62,"NA","US","Fairfax Station, VA","NA-US-VA-FAIRFAX STATION","false",8963,17630,1028446241,
