zip,stcountyfp,city,state,countyname,classfp
24472,51015,Raphine,VA,Augusta County,H1
24411,51015,Augusta springs,VA,Augusta County,H1
24401,51015,Staunton,VA,Augusta County,H1
24459,51015,Middlebrook,VA,Augusta County,H1
24421,51015,Churchville,VA,Augusta County,H1
22939,51015,Fishersville,VA,Augusta County,H1
24485,51015,West augusta,VA,Augusta County,H1
24430,51015,Craigsville,VA,Augusta County,H1
24476,51015,Steeles tavern,VA,Augusta County,H1
24469,51015,New hope,VA,Augusta County,H1
24439,51015,Goshen,VA,Augusta County,H1
24432,51015,Deerfield,VA,Augusta County,H1
24431,51015,Crimora,VA,Augusta County,H1
24460,51017,Millboro,VA,Bath County,H1
24422,51017,Clifton forge,VA,Bath County,H1
24445,51017,Hot springs,VA,Bath County,H1
24412,51017,Bacova,VA,Bath County,H1
24487,51017,Williamsville,VA,Bath County,H1
24484,51017,Warm springs,VA,Bath County,H1
24432,51017,Deerfield,VA,Bath County,H1
24104,51019,Huddleston,VA,Bedford County,H1
24122,51019,Montvale,VA,Bedford County,H1
24139,51019,Pittsville,VA,Bedford County,H1
24503,51019,Lynchburg,VA,Bedford County,H1
24536,51019,Coleman falls,VA,Bedford County,H1
24523,51019,Bedford,VA,Bedford County,H1
24550,51019,Evington,VA,Bedford County,H1
24101,51019,Hardy,VA,Bedford County,H1
24179,51019,Vinton,VA,Bedford County,H1
24502,51019,Lynchburg,VA,Bedford County,H1
24570,51019,Lowry,VA,Bedford County,H1
24064,51019,Blue ridge,VA,Bedford County,H1
24174,51019,Thaxton,VA,Bedford County,H1
24501,51019,Lynchburg,VA,Bedford County,H1
24556,51019,Goode,VA,Bedford County,H1
24095,51019,Goodview,VA,Bedford County,H1
24551,51019,Forest,VA,Bedford County,H1
24571,51019,Lynch station,VA,Bedford County,H1
24121,51019,Moneta,VA,Bedford County,H1
24526,51019,Big island,VA,Bedford County,H1
24084,51021,Dublin,VA,Bland County,H1
24315,51021,Bland,VA,Bland County,H1
24314,51021,Bastian,VA,Bland County,H1
24124,51021,Narrows,VA,Bland County,H1
24134,51021,Pearisburg,VA,Bland County,H1
24366,51021,Rocky gap,VA,Bland County,H1
24318,51021,Ceres,VA,Bland County,H1
24012,51023,Roanoke,VA,Botetourt County,H1
24090,51023,Fincastle,VA,Botetourt County,H1
24175,51023,Troutville,VA,Botetourt County,H1
24579,51023,Natural bridge station,VA,Botetourt County,H1
24066,51023,Buchanan,VA,Botetourt County,H1
24450,51023,Lexington,VA,Botetourt County,H1
24085,51023,Eagle rock,VA,Botetourt County,H1
24422,51023,Clifton forge,VA,Botetourt County,H1
24077,51023,Cloverdale,VA,Botetourt County,H1
24083,51023,Daleville,VA,Botetourt County,H1
24064,51023,Blue ridge,VA,Botetourt County,H1
24019,51023,Roanoke,VA,Botetourt County,H1
24155,51023,Roanoke,VA,Botetourt County,H1
24130,51023,Oriskany,VA,Botetourt County,H1
24438,51023,Glen wilton,VA,Botetourt County,H1
23887,51025,Valentines,VA,Brunswick County,H1
23843,51025,Dolphin,VA,Brunswick County,H1
23845,51025,Ebony,VA,Brunswick County,H1
23873,51025,Meredithville,VA,Brunswick County,H1
23919,51025,Bracey,VA,Brunswick County,H1
23856,51025,Freeman,VA,Brunswick County,H1
23847,51025,Emporia,VA,Brunswick County,H1
23876,51025,Rawlings,VA,Brunswick County,H1
23868,51025,Lawrenceville,VA,Brunswick County,H1
23889,51025,Warfield,VA,Brunswick County,H1
23893,51025,White plains,VA,Brunswick County,H1
23920,51025,Brodnax,VA,Brunswick County,H1
23938,51025,Dundas,VA,Brunswick County,H1
23824,51025,Blackstone,VA,Brunswick County,H1
23950,51025,La crosse,VA,Brunswick County,H1
23857,51025,Gasburg,VA,Brunswick County,H1
23821,51025,Alberta,VA,Brunswick County,H1
24634,51027,Pilgrims knob,VA,Buchanan County,H1
24631,51027,Oakwood,VA,Buchanan County,H1
24603,51027,Big rock,VA,Buchanan County,H1
24256,51027,Haysi,VA,Buchanan County,H1
24620,51027,Hurley,VA,Buchanan County,H1
24622,51027,Jewell ridge,VA,Buchanan County,H1
24656,51027,Vansant,VA,Buchanan County,H1
24657,51027,Whitewood,VA,Buchanan County,H1
24639,51027,Raven,VA,Buchanan County,H1
24628,51027,Maxie,VA,Buchanan County,H1
24658,51027,Wolford,VA,Buchanan County,H1
24614,51027,Grundy,VA,Buchanan County,H1
24260,51027,Honaker,VA,Buchanan County,H1
24217,51027,Bee,VA,Buchanan County,H1
24649,51027,Swords creek,VA,Buchanan County,H1
24646,51027,Rowe,VA,Buchanan County,H1
24239,51027,Davenport,VA,Buchanan County,H1
24624,51027,Keen mountain,VA,Buchanan County,H1
24627,51027,Mavisdale,VA,Buchanan County,H1
23936,51029,Dillwyn,VA,Buckingham County,H1
23921,51029,Buckingham,VA,Buckingham County,H1
24599,51029,Wingina,VA,Buckingham County,H1
23901,51029,Farmville,VA,Buckingham County,H1
23004,51029,Arvonia,VA,Buckingham County,H1
23123,51029,New canton,VA,Buckingham County,H1
23040,51029,Cumberland,VA,Buckingham County,H1
24522,51029,Appomattox,VA,Buckingham County,H1
24562,51029,Howardsville,VA,Buckingham County,H1
24553,51029,Gladstone,VA,Buckingham County,H1
24590,51029,Scottsville,VA,Buckingham County,H1
24504,51031,Lynchburg,VA,Campbell County,H1
24588,51031,Rustburg,VA,Campbell County,H1
24593,51031,Spout spring,VA,Campbell County,H1
24550,51031,Evington,VA,Campbell County,H1
24502,51031,Lynchburg,VA,Campbell County,H1
24538,51031,Concord,VA,Campbell County,H1
24554,51031,Gladys,VA,Campbell County,H1
24522,51031,Appomattox,VA,Campbell County,H1
24501,51031,Lynchburg,VA,Campbell County,H1
24528,51031,Brookneal,VA,Campbell County,H1
24517,51031,Altavista,VA,Campbell County,H1
